external_id,employee_external_id,start_at,end_at,break_minutes
S-9001,E-1001,2026-03-01T09:00:00Z,2026-03-01T17:00:00Z,30
S-9002,E-1002,2026-03-02T10:00:00Z,2026-03-02T18:15:00Z,
S-9003,E-1003,2026-03-03T09:00:00Z,2026-03-03T12:00:00Z,0
S-ERR2,E-1002,2026-03-04T09:00:00Z,2026-03-04T17:00:00Z,30
S-ERR3,E-1002,2026-03-04T10:00:00Z,2026-03-04T12:00:00Z,0
S-V001,E-1004,2026-03-01T09:00:00Z,2026-03-01T17:00:00Z,60
S-V002,E-1004,2026-03-02T09:00:00Z,2026-03-02T17:00:00Z,60
S-V003,E-1004,2026-03-03T09:00:00Z,2026-03-03T17:00:00Z,60
S-V004,E-1004,2026-03-04T09:00:00Z,2026-03-04T17:00:00Z,60
S-V005,E-1004,2026-03-05T09:00:00Z,2026-03-05T17:00:00Z,60
S-V006,E-1004,2026-03-10T09:00:00Z,2026-03-10T17:00:00Z,60
S-V007,E-1004,2026-03-11T09:00:00Z,2026-03-11T17:00:00Z,60
S-V008,E-1004,2026-03-12T09:00:00Z,2026-03-12T17:00:00Z,60
S-V009,E-1004,2026-03-20T09:00:00Z,2026-03-20T17:00:00Z,60
S-V010,E-1004,2026-03-21T09:00:00Z,2026-03-21T17:00:00Z,60
S-V011,E-1004,2026-02-20T09:00:00Z,2026-02-20T17:00:00Z,60
,E-1001,2026-03-01T09:00:00Z,2026-03-01T17:00:00Z,30
S-GHOST,E-9999,2026-03-01T09:00:00Z,2026-03-01T17:00:00Z,30

